71601,Pine Bluff,Jefferson,
71602,White Hall,Jefferson,
71603,Pine Bluff,Jefferson,
71611,Pine Bluff,Jefferson,
71612,White Hall,Jefferson,
71613,Pine Bluff,Jefferson,
71630,Arkansas City,Desha,
71631,Banks,Bradley,
71635,Crossett,Ashley,
71638,Dermott,Chicot,
71639,Dumas,Desha,
71640,Eudora,Chicot,
71642,Fountain Hill,Ashley,
71643,Gould,Lincoln,
71644,Grady,Lincoln,
71646,Hamburg,Ashley,
71647,Hermitage,Bradley,
71651,Jersey,Bradley,
71652,Kingsland,Cleveland,
71653,Lake Village,Chicot,
71654,Mc Gehee,Desha,
71655,Monticello,Drew,
71656,Monticello,Drew,
71657,Monticello,Drew,
71658,Montrose,Ashley,
71659,Moscow,Jefferson,
71660,New Edinburg,Cleveland,
71661,Parkdale,Ashley,
71662,Pickens,Desha,
71663,Portland,Ashley,
71665,Rison,Cleveland,
71666,Rohwer,Desha,
71667,Star City,Lincoln,
71670,Tillar,Desha,
71671,Warren,Bradley,
71674,Watson,Desha,
71675,Wilmar,Drew,
71676,Wilmot,Ashley,
71677,Winchester,Drew,
71678,Yorktown,Lincoln,
71701,Camden,Ouachita,
71711,Camden,Ouachita,
71720,Bearden,Ouachita,
71721,Beirne,Clark,
71722,Bluff City,Nevada,
71724,Calion,Union,
71725,Carthage,Dallas,
71726,Chidester,Ouachita,
71728,Curtis,Clark,
71730,El Dorado,Union,
71731,El Dorado,Union,
71740,Emerson,Columbia,
71742,Fordyce,Dallas,
71743,Gurdon,Clark,
71744,Hampton,Calhoun,
71745,Harrell,Calhoun,
71747,Huttig,Union,
71748,Ivan,Dallas,
71749,Junction City,Union,
71750,Lawson,Union,
71751,Louann,Ouachita,
71752,Mc Neil,Columbia,
71753,Magnolia,Columbia,
71754,Magnolia,Columbia,
71758,Mount Holly,Union,
71759,Norphlet,Union,
71762,Smackover,Union,
71763,Sparkman,Dallas,
71764,Stephens,Ouachita,
71765,Strong,Union,
71766,Thornton,Calhoun,
71770,Waldo,Columbia,
71772,Whelen Springs,Clark,
71801,Hope,Hempstead,
71802,Hope,Hempstead,
71820,Alleene,Little River,
71822,Ashdown,Little River,
71823,Ben Lomond,Sevier,
71825,Blevins,Hempstead,
71826,Bradley,Lafayette,
71827,Buckner,Lafayette,
71828,Cale,Nevada,
71831,Columbus,Hempstead,
71832,De Queen,Sevier,
71833,Dierks,Howard,
71834,Doddridge,Miller,
71835,Emmet,Nevada,
71836,Foreman,Little River,
71837,Fouke,Miller,
71838,Fulton,Hempstead,
71839,Garland City,Miller,
71840,Genoa,Miller,
71841,Gillham,Sevier,
71842,Horatio,Sevier,
71845,Lewisville,Lafayette,
71846,Lockesburg,Sevier,
71847,Mc Caskill,Hempstead,
71851,Mineral Springs,Howard,
71852,Nashville,Howard,
71853,Ogden,Little River,
71854,Texarkana,Miller,
71855,Ozan,Hempstead,
71857,Prescott,Nevada,
71858,Rosston,Nevada,
71859,Saratoga,Howard,
71860,Stamps,Lafayette,
71861,Taylor,Columbia,
71862,Washington,Hempstead,
71864,Willisville,Nevada,
71865,Wilton,Little River,
71866,Winthrop,Little River,
71901,Hot Springs National Park,Garland,
71902,Hot Springs National Park,Garland,
71903,Hot Springs National Park,Garland,
71909,Hot Springs Village,Garland,
71910,Hot Springs Village,Garland,
71913,Hot Springs National Park,Garland,
71914,Hot Springs National Park,Garland,
71920,Alpine,Clark,
71921,Amity,Clark,
71922,Antoine,Pike,
71923,Arkadelphia,Clark,
71929,Bismarck,Hot Spring,
71932,Board Camp,Polk,
71933,Bonnerdale,Hot Spring,
71935,Caddo Gap,Montgomery,
71937,Cove,Polk,
71940,Delight,Pike,
71941,Donaldson,Hot Spring,
71942,Friendship,Hot Spring,
