68001,Abie,Butler,
68002,Arlington,Washington,
68003,Ashland,Saunders,
68004,Bancroft,Cuming,
68005,Bellevue,Sarpy,
68007,Bennington,Douglas,
68008,Blair,Washington,
68010,Boys Town,Douglas,
68014,Bruno,Butler,
68015,Cedar Bluffs,Saunders,
68016,Cedar Creek,Cass,
68017,Ceresco,Saunders,
68018,Colon,Saunders,
68019,Craig,Burt,
68020,Decatur,Burt,
68022,Elkhorn,Douglas,
68023,Fort Calhoun,Washington,
68025,Fremont,Dodge,
68026,Fremont,Dodge,
68028,Gretna,Sarpy,
68029,Herman,Washington,
68030,Homer,Dakota,
68031,Hooper,Dodge,
68033,Ithaca,Saunders,
68034,Kennard,Washington,
68036,Linwood,Butler,
68037,Louisville,Cass,
68038,Lyons,Burt,
68039,Macy,Thurston,
68040,Malmo,Saunders,
68041,Mead,Saunders,
68042,Memphis,Saunders,
68044,Nickerson,Dodge,
68045,Oakland,Burt,
68046,Papillion,Sarpy,
68047,Pender,Thurston,
68048,Plattsmouth,Cass,
68050,Prague,Saunders,
68055,Rosalie,Thurston,
68056,St Columbans,Sarpy,
68057,Scribner,Dodge,
68058,South Bend,Cass,
68059,Springfield,Sarpy,
68061,Tekamah,Burt,
68062,Thurston,Thurston,
68063,Uehling,Dodge,
68064,Valley,Douglas,
68065,Valparaiso,Saunders,
68066,Wahoo,Saunders,
68067,Walthill,Thurston,
68068,Washington,Washington,
68069,Waterloo,Douglas,
68070,Weston,Saunders,
68071,Winnebago,Thurston,
68072,Winslow,Dodge,
68073,Yutan,Saunders,
68101,Omaha,Douglas,
68102,Omaha,Douglas,
68103,Omaha,Douglas,
68104,Omaha,Douglas,
68105,Omaha,Douglas,
68106,Omaha,Douglas,
68107,Omaha,Douglas,
68108,Omaha,Douglas,
68109,Omaha,Douglas,
68110,Omaha,Douglas,
68111,Omaha,Douglas,
68112,Omaha,Douglas,
68113,Offutt AFB,Sarpy,
68114,Omaha,Douglas,
68116,Omaha,Douglas,
68117,Omaha,Douglas,
68118,Omaha,Douglas,
68119,Omaha,Douglas,
68122,Omaha,Douglas,
68123,Bellevue,Sarpy,
68124,Omaha,Douglas,
68127,Omaha,Douglas,
68128,La Vista,Sarpy,
68130,Omaha,Douglas,
68131,Omaha,Douglas,
68132,Omaha,Douglas,
68133,Papillion,Sarpy,
68134,Omaha,Douglas,
68135,Omaha,Douglas,
68136,Omaha,Sarpy,
68137,Omaha,Douglas,
68138,Omaha,Sarpy,
68139,Omaha,Douglas,
68142,Omaha,Douglas,
68144,Omaha,Douglas,
68145,Omaha,Douglas,
68147,Bellevue,Sarpy,
68152,Omaha,Douglas,
68154,Omaha,Douglas,
68157,Omaha,Sarpy,
68164,Omaha,Douglas,
68172,Omaha,Douglas,
