87001,Algodones,Sandoval,
87002,Belen,Valencia,
87004,Bernalillo,Sandoval,
87005,Bluewater,Cibola,
87006,Bosque,Valencia,
87007,Casa Blanca,Cibola,
87008,Cedar Crest,Bernalillo,
87009,Cedarvale,Torrance,
87010,Cerrillos,Santa Fe,
87011,Claunch,Socorro,
87012,Coyote,Rio Arriba,
87013,Cuba,Sandoval,
87014,Cubero,Cibola,
87015,Edgewood,Santa Fe,
87016,Estancia,Torrance,
87017,Gallina,Rio Arriba,
87018,Counselor,Sandoval,
87020,Grants,Cibola,
87021,Milan,Cibola,
87022,Isleta,Bernalillo,
87023,Jarales,Valencia,
87024,Jemez Pueblo,Sandoval,
87025,Jemez Springs,Sandoval,
87026,Laguna,Cibola,
87027,La Jara,Sandoval,
87028,La Joya,Socorro,
87029,Lindrith,Rio Arriba,
87031,Los Lunas,Valencia,
87032,Mcintosh,Torrance,
87034,Pueblo Of Acoma,Cibola,
87035,Moriarty,Torrance,
87036,Mountainair,Torrance,
87037,Nageezi,San Juan,
87038,New Laguna,Cibola,
87040,Paguate,Cibola,
87041,Pena Blanca,Sandoval,
87042,Peralta,Valencia,
87043,Placitas,Sandoval,
87044,Ponderosa,Sandoval,
87045,Prewitt,Mckinley,
87046,Regina,Sandoval,
87047,Sandia Park,Bernalillo,
87048,Corrales,Sandoval,
87049,San Fidel,Cibola,
87051,San Rafael,Cibola,
87052,Santo Domingo Pueblo,Sandoval,
87053,San Ysidro,Sandoval,
87056,Stanley,Santa Fe,
87059,Tijeras,Bernalillo,
87060,Tome,Valencia,
87061,Torreon,Torrance,
87062,Veguita,Socorro,
87063,Willard,Torrance,
87064,Youngsville,Rio Arriba,
87068,Bosque Farms,Valencia,
87070,Clines Corners,Torrance,
87072,Cochiti Pueblo,Sandoval,
87083,Cochiti Lake,Sandoval,
87101,Albuquerque,Bernalillo,
87102,Albuquerque,Bernalillo,
87103,Albuquerque,Bernalillo,
87104,Albuquerque,Bernalillo,
87105,Albuquerque,Bernalillo,
87106,Albuquerque,Bernalillo,
87107,Albuquerque,Bernalillo,
87108,Albuquerque,Bernalillo,
87109,Albuquerque,Bernalillo,
87110,Albuquerque,Bernalillo,
87111,Albuquerque,Bernalillo,
87112,Albuquerque,Bernalillo,
87113,Albuquerque,Bernalillo,
87114,Albuquerque,Bernalillo,
87115,Albuquerque,Bernalillo,
87116,Albuquerque,Bernalillo,
87117,Kirtland AFB,Bernalillo,
87119,Albuquerque,Bernalillo,
87120,Albuquerque,Bernalillo,
87121,Albuquerque,Bernalillo,
87122,Albuquerque,Bernalillo,
87123,Albuquerque,Bernalillo,
87124,Rio Rancho,Sandoval,
87125,Albuquerque,Bernalillo,
87131,Albuquerque,Bernalillo,
87144,Rio Rancho,Sandoval,
87151,Albuquerque,Bernalillo,
87153,Albuquerque,Bernalillo,
87154,Albuquerque,Bernalillo,
87158,Albuquerque,Bernalillo,
87174,Rio Rancho,Sandoval,
87176,Albuquerque,Bernalillo,
87181,Albuquerque,Bernalillo,
87184,Albuquerque,Bernalillo,
87185,Albuquerque,Bernalillo,
87187,Albuquerque,Bernalillo,
87190,Albuquerque,Bernalillo,
87191,Albuquerque,Bernalillo,
87192,Albuquerque,Bernalillo,
87193,Albuquerque,Bernalillo,
87194,Albuquerque,Bernalillo,
87195,Albuquerque,Bernalillo,
87196,Albuquerque,Bernalillo,
87197,Albuquerque,Bernalillo,
